NUM: 101 URRA                  Penal: 0        -1.
2019  0.54  0.54  0.54  0.54  0.54  1.23  1.23  1.23  1.23  1.62  1.62  1.62  1.62  1.58  1.58  1.58  1.58  1.18  1.18  1.18  1.18  1.18   0.6   0.6   0.6   0.6    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
2020  0.54  0.54  0.54  0.54  0.54  1.23  1.23  1.23  1.23  1.62  1.62  1.62  1.62  1.58  1.58  1.58  1.58  1.18  1.18  1.18  1.18  1.18   0.6   0.6   0.6   0.6    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
2021  0.54  0.54  0.54  0.54  0.54  1.23  1.23  1.23  1.23  1.62  1.62  1.62  1.62  1.58  1.58  1.58  1.58  1.18  1.18  1.18  1.18  1.18   0.6   0.6   0.6   0.6    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
2022  0.54  0.54  0.54  0.54  0.54  1.23  1.23  1.23  1.23  1.62  1.62  1.62  1.62  1.58  1.58  1.58  1.58  1.18  1.18  1.18  1.18  1.18   0.6   0.6   0.6   0.6    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
2023  0.54  0.54  0.54  0.54  0.54  1.23  1.23  1.23  1.23  1.62  1.62  1.62  1.62  1.58  1.58  1.58  1.58  1.18  1.18  1.18  1.18  1.18   0.6   0.6   0.6   0.6    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
NUM: 308 RB ESPI-ALIC          Penal: 0         0.
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2018                                                                                                                                                                                                                                                                                                                        
2019  4.62  4.62  4.62  4.62  4.62  4.27  4.27  4.27  4.27  5.04  5.04  5.04  5.04  9.61  9.61  9.61  9.61 11.68 11.68 11.68 11.68 11.68 12.78 12.78 12.78 12.78 11.84 11.84 11.84 11.84  7.88  7.88  7.88  7.88  7.88  4.95  4.95  4.95  4.95 10.35 10.35 10.35 10.35 10.35 11.89 11.89 11.89 11.89  9.35  9.35  9.35  9.35
2020  4.62  4.62  4.62  4.62  4.62  4.27  4.27  4.27  4.27  5.04  5.04  5.04  5.04  9.61  9.61  9.61  9.61 11.68 11.68 11.68 11.68 11.68 12.78 12.78 12.78 12.78 11.84 11.84 11.84 11.84  7.88  7.88  7.88  7.88  7.88  4.95  4.95  4.95  4.95 10.35 10.35 10.35 10.35 10.35 11.89 11.89 11.89 11.89  9.35  9.35  9.35  9.35
2021  4.62  4.62  4.62  4.62  4.62  4.27  4.27  4.27  4.27  5.04  5.04  5.04  5.04  9.61  9.61  9.61  9.61 11.68 11.68 11.68 11.68 11.68 12.78 12.78 12.78 12.78 11.84 11.84 11.84 11.84  7.88  7.88  7.88  7.88  7.88  4.95  4.95  4.95  4.95 10.35 10.35 10.35 10.35 10.35 11.89 11.89 11.89 11.89  9.35  9.35  9.35  9.35
2022  4.62  4.62  4.62  4.62  4.62  4.27  4.27  4.27  4.27  5.04  5.04  5.04  5.04  9.61  9.61  9.61  9.61 11.68 11.68 11.68 11.68 11.68 12.78 12.78 12.78 12.78 11.84 11.84 11.84 11.84  7.88  7.88  7.88  7.88  7.88  4.95  4.95  4.95  4.95 10.35 10.35 10.35 10.35 10.35 11.89 11.89 11.89 11.89  9.35  9.35  9.35  9.35
2023  4.62  4.62  4.62  4.62  4.62  4.27  4.27  4.27  4.27  5.04  5.04  5.04  5.04  9.61  9.61  9.61  9.61 11.68 11.68 11.68 11.68 11.68 12.78 12.78 12.78 12.78 11.84 11.84 11.84 11.84  7.88  7.88  7.88  7.88  7.88  4.95  4.95  4.95  4.95 10.35 10.35 10.35 10.35 10.35 11.89 11.89 11.89 11.89  9.35  9.35  9.35  9.35
NUM: 399 EL QUIMBO             Penal: 0         0.
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2018                                                                                                                                                                                                                                                                                                                        
2019  7.97  7.97  7.97  7.97  7.97 10.85 10.85 10.85 10.85  6.08  6.08  6.08  6.08  6.98  6.98  6.98  6.98  3.99  3.99  3.99  3.99  3.99  4.71  4.71  4.71  4.71  7.83  7.83  7.83  7.83  9.31  9.31  9.31  9.31  9.31  8.46  8.46  8.46  8.46  9.36  9.36  9.36  9.36  9.36  2.49  2.49  2.49  2.49  4.94  4.94  4.94  4.94
2020  7.97  7.97  7.97  7.97  7.97 10.85 10.85 10.85 10.85  6.08  6.08  6.08  6.08  6.98  6.98  6.98  6.98  3.99  3.99  3.99  3.99  3.99  4.71  4.71  4.71  4.71  7.83  7.83  7.83  7.83  9.31  9.31  9.31  9.31  9.31  8.46  8.46  8.46  8.46  9.36  9.36  9.36  9.36  9.36  2.49  2.49  2.49  2.49  4.94  4.94  4.94  4.94
2021  7.97  7.97  7.97  7.97  7.97 10.85 10.85 10.85 10.85  6.08  6.08  6.08  6.08  6.98  6.98  6.98  6.98  3.99  3.99  3.99  3.99  3.99  4.71  4.71  4.71  4.71  7.83  7.83  7.83  7.83  9.31  9.31  9.31  9.31  9.31  8.46  8.46  8.46  8.46  9.36  9.36  9.36  9.36  9.36  2.49  2.49  2.49  2.49  4.94  4.94  4.94  4.94
2022  7.97  7.97  7.97  7.97  7.97 10.85 10.85 10.85 10.85  6.08  6.08  6.08  6.08  6.98  6.98  6.98  6.98  3.99  3.99  3.99  3.99  3.99  4.71  4.71  4.71  4.71  7.83  7.83  7.83  7.83  9.31  9.31  9.31  9.31  9.31  8.46  8.46  8.46  8.46  9.36  9.36  9.36  9.36  9.36  2.49  2.49  2.49  2.49  4.94  4.94  4.94  4.94
2023  7.97  7.97  7.97  7.97  7.97 10.85 10.85 10.85 10.85  6.08  6.08  6.08  6.08  6.98  6.98  6.98  6.98  3.99  3.99  3.99  3.99  3.99  4.71  4.71  4.71  4.71  7.83  7.83  7.83  7.83  9.31  9.31  9.31  9.31  9.31  8.46  8.46  8.46  8.46  9.36  9.36  9.36  9.36  9.36  2.49  2.49  2.49  2.49  4.94  4.94  4.94  4.94
NUM: 403 CHIVOR                Penal: 0         0.
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
