 NUM. Tp ...NombreB.. Id  # tg Plnt Nombre Gener.Area %per1 Ploa1 Pind1 PerF1 %per2 Ploa2 Pind2 PerF2 %per3 Ploa3 Pind3 PerF3 %per4 Ploa4 Pind4 PerF4 %per5 Ploa5 Pind5 PerF5 Icca
  141  0 Termoflores1 co  2  2 1038 FLORES1GN       1                                                                                                                            0
  145  0 Flores2      co  1  2 2047 FLORES4         1                                                                                                                            0
  145  0 Flores2      co  2  2 2049 FLORES4GIM      1                                                                                                                            0
  146  0 NvBarranqui2 co                            1                                                                                                                            0
  147  0 Sabanalarga2 co                            1                                                                                                                            0
  153  0 Malambo110   co                            1                                                                                                                            0
  155  0 Sabanalarga5 co                            1                                                                                                                            0
  156  0 Silencio110  co                            1                                                                                                                            0
  157  0 Tebsa110     co  1  2 1001 BARRANQUILL3    1                                                                                                                            0
  157  0 Tebsa110     co  2  2 1002 BQUILLA3GIM     1                                                                                                                            0
  157  0 Tebsa110     co  3  2 1003 BARRANQUILL4    1                                                                                                                            0
  157  0 Tebsa110     co  4  2 1004 BQUILLA4GIM     1                                                                                                                            0
  158  0 Tebsa2       co  1  2 1068 TEBSAB          1                                                                                                                            0
  158  0 Tebsa2       co  2  2 1069 TEBSAGIM        1                                                                                                                            0
  159  0 VeinteJulio1 co                            1                                                                                                                            0
  163  0 Centro110    co                            1                                                                                                                            0
  164  0 Cordialidad1 co                            1                                                                                                                            0
  165  0 ElRio110     co                            1                                                                                                                            0
  167  0 NvBaranoa1   co                            1                                                                                                                            0
  168  0 TVteJulio1   co                            1                                                                                                                            0
  169  0 Sabanalarga1 co                            1                                                                                                                            0
  170  0 SalaminaEC1  co                            1                                                                                                                            0
  173  0 Magdalena3   co                            1                                                                                                                            0
  174  0 Union3       co                            1                                                                                                                            0
  178  0 LasFlores3   co                            1                                                                                                                            0
  179  0 Silencio3    co                            1                                                                                                                            0
  184  0 NvBrrquilla1 co                            1                                                                                                                            0
  186  0 Riomar3      co                            1                                                                                                                            0
  194  0 TriplexPiza3 co                            1                                                                                                                            0
  195  0 ElRio3       co                            1                                                                                                                            0
  196  0 SaintGobain3 co                            1                                                                                                                            0
  197  0 Chinu5       co                            1                                                                                                                            0
  198  0 Altamira2    co                            6                                                                                                                            0
  199  0 Betania2     co  1  1  408 BETANIA         6                                                                                                                            0
  201  0 Mocoa2       co                            6                                                                                                                            0
  202  0 Natagaima1   co                            6                                                                                                                            0
  203  0 Neiva115     co                            6                                                                                                                            0
  204  0 Tuluni115    co  1  1  521 AMBEIMA         6                                                                                                                            0
  205  0 Seboruco115  co                            6                                                                                                                            0
  206  0 Sur115       co                            6                                                                                                                            0
  210  0 Betania115   co                            6                                                                                                                            0
  211  0 Hobo115      co                            6                                                                                                                            0
  212  0 Altamira115  co                            6                                                                                                                            0
  213  0 Florencia1   co                            6                                                                                                                            0
  214  0 Pitalito115  co                            6                                                                                                                            0
  220  0 SnAntonio2   co                            4                                                                                                                            0
  221  0 Jamondino2   co                            6                                                                                                                            0
  222  0 Tenay115     co                            6                                                                                                                            0
  223  0 Ocoa115      co                            5                                                                                                                            0
  224  0 Reforma2     co                            5                                                                                                                            0
  225  0 Vllavicenci1 co                            5                                                                                                                            0
  226  0 Barzal115    co                            5                                                                                                                            0
  227  0 Granada115   co                            5                                                                                                                            0
  228  0 PuertoLopez1 co                            5                                                                                                                            0
  229  0 Suria115     co                            5                                                                                                                            0
  233  0 NtpSJG1      co                            5                                                                                                                            0
  234  0 Ocaña5       co                            4                                                                                                                            0
  235  0 Barranca2    co                            4                                                                                                                            0
  236  0 Belen115     co                            4                                                                                                                            0
  237  0 Bmanga2      co                            4                                                                                                                            0
  238  0 CLimon3      co                            4                                                                                                                            0
  239  0 Comuneros2   co                            4                                                                                                                            0
  240  0 Cucuta2      co                            4                                                                                                                            0
  241  0 Guatiguara2  co                            4                                                                                                                            0
  242  0 Ocaña2       co                            4                                                                                                                            0
  243  0 Paipa115     co  1  2 1046 PAIPA 1         4                                                                                                                            0
  243  0 Paipa115     co  2  2 1047 PAIPA 2         4                                                                                                                            0
  243  0 Paipa115     co  3  2 1048 PAIPA 3         4                                                                                                                            0
  245  0 Paipa2       co  1  2 1093 PAIPA 4         4                                                                                                                            0
  246  0 SnMateo2     co                            4                                                                                                                            0
  248  0 Sochagota2   co                            4                                                                                                                            0
  249  0 Tasajero2    co  1  2 1049 TASAJERO 1      4                                                                                                                            0
  249  0 Tasajero2    co  2  2 1050 TASAJERO 2      4                                                                                                                            0
  250  0 CiraInfanta2 co                            4                                                                                                                            0
  251  0 Palos2       co                            4                                                                                                                            0
  252  0 NtpApa1      co                            4                                                                                                                            0
  253  0 Holcim115    co                            4                                                                                                                            0
  254  0 SnAntonio1   co                            4                                                                                                                            0
  255  0 Barbosa115   co                            4                                                                                                                            0
  256  0 Chiquinquir1 co                            4                                                                                                                            0
  257  0 Barranca115  co                            4                                                                                                                            0
  258  0 Palenque115  co                            4                                                                                                                            0
