$version=3
!Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos TechTyp
  74 TERMO YOPAL1   282    0    1    19.9       1.      0.    0    74      0.      0.       0
  75 TERMOBOLIVAR   254    0    1     9.7       1.      0.    0    75      0.      0.       0
  76 TMECHERO4      279    0    1     19.       1.      0.    0    76      0.      0.       0
  77 TMECHERO5      279    0    1     19.       1.      0.    0    77      0.      0.       0
  78 TMECHERO6      279    0    1     19.       1.      0.    0    78      0.      0.       0
  79 TPIEDRAS       390    0    1    3.75       1.      0.    0    79      0.      0.       0
  80 TRAP-BIOBAND   433    1    1      2.       1.      0.    0    80      0.      0.       0
  81 TULUA ALTO     450    0    1    19.9       1.      0.    0    81      0.      0.       0
  82 TULUA BAJO     450    0    1    19.9       1.      0.    0    82      0.      0.       0
  83 TUNJITA        637    0    1    19.7       1.      0.    0    83      0.      0.       0
  84 E_Guajira     1181    1    1     20.       1.      0.    0    84      0.      0.       0
  85 E_Begonia     1181    1    1     82.       1.      0.    0    85      0.      0.       0
  86 E_Windpeshi   1147    1    1  195.03       1.      0.    0    86      0.      0.       0
  87 E_Irraipa      889    1    1     99.       1.      0.    0    87      0.      0.       0
  90 E_CasaElectr   889    1    1    180.       1.      0.    0    90      0.      0.       0
  88 E_Carrizal     889    1    1    195.       1.      0.    0    88      0.      0.       0
  89 E_Apotalorru   889    1    1     75.       1.      0.    0    89      0.      0.       0
  94 S_PoloNuevo1   167    1    1     9.9       1.      0.    0    94      0.      0.       0
  95 S_PoloNuevo2   167    1    1    19.3       1.      0.    0    95      0.      0.       0
  96 S_ElPaso      1150    1    1     67.       1.      0.    0    96      0.      0.       0
  97 S_Latam1      1175    1    1    19.9       1.      0.    0    97      0.      0.       0
  98 S_Latam2      1175    1    1     9.9       1.      0.    0    98      0.      0.       0
  99 S_Ponedera     147    1    1     9.9       1.      0.    0    99      0.      0.       0
 100 S_Yumbo        416    0    1     9.9       1.      0.    0   100      0.      0.       0
 102 S_Manantial   1159    1    1    19.9       1.      0.    0   102      0.      0.       0
 105 S_BSBolívar    147    1    1     60.       1.      0.    0   105      0.      0.       0
 106 S_Urra        1138    1    1    19.9       1.      0.    0   106      0.      0.       0
 107 H_AuresBajo     39    0    1    19.4       1.      0.    0   107      0.      0.       0
 108 H_Buco         203    1    1    1.36       1.      0.    0   108      0.      0.       0
 109 H_Montebonit  1025    1    1    19.9       1.      0.    0   109      0.      0.       0
 110 H_Hidronare    101    1    1    19.9       1.      0.    0   110      0.      0.       0
 112 H_Conde        105    1    1    3.52       1.      0.    0   112      0.      0.       0
 113 H_Barrancas    257    1    1     4.7       1.      0.    0   113      0.      0.       0
 114 H_DoñaTeresa    40    1    1     8.9       1.      0.    0   114      0.      0.       0
 115 H_SanJoseMon    85    0    1     1.1       1.      0.    0   115      0.      0.       0
 116 S_GrupAnt        3    1    1    2.13       1.      0.    0   116      0.      0.       0
 117 S_GrupCaribe   147    1    1    6.39       1.      0.    0   117      0.      0.       0
 118 S_GrupOrient   605    1    1    0.82       1.      0.    0   118      0.      0.       0
 119 S_GrupSur      221    1    1    2.34       1.      0.    0   119      0.      0.       0
 120 S_GrupNord     249    1    1    0.11       1.      0.    0   120      0.      0.       0
 121 PCH_ElCable   1025    1    1   0.045       1.      0.    0   121      0.      0.       0
 122 H_AuresAlto     39    1    1    19.9       1.      0.    0   122      0.      0.       0
 123 H_Chitaga      267    1    1   19.95       1.      0.    0   123      0.      0.       0
 124 H_Hidrotota    389    1    1    19.9       1.      0.    0   124      0.      0.       0
 125 H_SanAntonio   696    1    1    13.5       1.      0.    0   125      0.      0.       0
 127 LA_CASCADA     276    0    1      3.       1.      0.    0   127      0.      0.       0
 128 ING_PICHI_1    450    1    1     17.       1.      0.    0   128      0.      0.       0
 129 ING_MANUELI    454    0    1     3.5       1.      0.    0   129      0.      0.       0
 130 ING_CARMERLI   430    0    1      0.       1.      0.    0   130      0.      0.       0
 131 LACASCADA_AN   110    0    1     2.3       1.      0.    0   131      0.      0.       0
 132 TUMACO_1      1075    0    1      0.       1.      0.    0   132      0.      0.       0
 133 AUTOG_YAGUAR   229    0    1     1.6       1.      0.    0   133      0.      0.       0
 134 AUTOG_UNIBOL   153    0    1     1.1       1.      0.    0   134      0.      0.       0
 135 ARGOS_YUMBO    416    0    1     9.9       1.      0.    0   135      0.      0.       0
 136 REFICAR        968    0    1     9.9       1.      0.    0   136      0.      0.       0
 137 ARGOS_CARTAG   963    0    1     9.9       1.      0.    0   137      0.      0.       0
 138 SUEVA_2        696    0    1      6.       1.      0.    0   138      0.      0.       0
 139 CASTILLA_1     453    0    1      0.       1.      0.    0   139      0.      0.       0
 140 URRAO           27    0    1    1.03       1.      0.    0   140      0.      0.       0
 141 LA_REBUSCA     110    0    1     0.7       1.      0.    0   141      0.      0.       0
 142 SANTIAGO       110    0    1     2.8       1.      0.    0   142      0.      0.       0
 143 SANTA_RITA     103    0    1     1.3       1.      0.    0   143      0.      0.       0
 144 S_FRANCIS_PU  1065    0    1   0.468       1.      0.    0   144      0.      0.       0
 145 RUMOR          450    0    1     2.5       1.      0.    0   145      0.      0.       0
 146 RIONEGRO      1018    0    1     9.6       1.      0.    0   146      0.      0.       0
 147 RIO_PIEDRAS     27    0    1    19.9       1.      0.    0   147      0.      0.       0
 148 RIO_FRIO_II    450    0    1     10.       1.      0.    0   148      0.      0.       0
 149 RIO_FRIO_I     450    0    1      0.       1.      0.    0   149      0.      0.       0
 150 REMEDIOS        93    0    1    0.75       1.      0.    0   150      0.      0.       0
 151 PROENCA_II     430    0    1     17.       1.      0.    0   151      0.      0.       0
 152 COG_Incauca2  1054    1    1     60.       1.      0.    0   152      0.      0.       0
 103 S_BSLlanos1    688    1    1    19.9       1.      0.    0   103      0.      0.       0
 153 S_BSLlanos2    688    1    1    19.9       1.      0.    0   153      0.      0.       0
 154 S_BSLlanos3    688    1    1    19.9       1.      0.    0   154      0.      0.       0
 155 S_BSLlanos4    688    1    1    19.9       1.      0.    0   155      0.      0.       0
 156 S_BSLlanos5    688    1    1    17.9       1.      0.    0   156      0.      0.       0
 157 COG_CocaCola   637    0    1     2.4       1.      0.    0   157      0.      0.       0
 158 S_Prosperida   170    1    1    19.5       1.      0.    0   158      0.      0.       0
 159 E_Wayuu       1181    1    1     12.       1.      0.    0   159      0.      0.       0
 160 S_LaIguana     966    1    1    19.5       1.      0.    0   160      0.      0.       0
 161 EgipPalmas    1058    1    1     4.4       1.      0.    0   161      0.      0.       0
 162 AUTOG_Sogamo  1206    0    1      5.       1.      0.    0   162      0.      0.       0
 126 S_LatamSolar    53    1    1    150.       1.      0.    0   126      0.      0.       0
 163 AUTOG_Famili    29    1    1      1.       1.      0.    0   163      0.      0.       0
 164 RIO MULATOS2    27    1    1    7.34       1.      0.    0   164      0.      0.       0
 165 S_Since       1140    1    1    19.9       1.      0.    0   165      0.      0.       0
 166 COG_Manuelit  1194    1    1     12.       1.      0.    0   166      0.      0.       0
  48 TEQUENDAMA1    702    0    1    14.2       1.      0.    0    48      0.      0.       0
 168 TEQUENDAMA2    702    0    1    14.2       1.      0.    0   168      0.      0.       0
 169 TEQUENDAMA3    702    0    1    14.2       1.      0.    0   169      0.      0.       0
 170 TEQUENDAMA4    702    0    1    14.2       1.      0.    0   170      0.      0.       0
 167 S_SolBolivar   958    0    1    8.06       1.      0.    0   167      0.      0.       0
   4 S_AWARALA     1130    1    1    19.9       1.      0.    0     4      0.      0.       0
  41 E_JEPIRACHI   1181    0    1   18.42       1.      0.    0    41      0.      0.       0
 171 ARGOS_NARE      82    1    1      9.       1.      0.    0   171      0.      0.       0
 172 S_Sierpe      1130    1    1    19.9       1.      0.    0   172      0.      0.       0
 173 E_Acacia      1147    1    1     80.       1.      0.    0   173      0.      0.       0
 174 E_Camelia     1305    1    1    250.       1.      0.    0   174      0.      0.       0
 175 S_SanJuanI    1306    1    1    19.9       1.      0.    0   175      0.      0.       0
 176 S_SanJuanII   1306    1    1     9.9       1.      0.    0   176      0.      0.       0
 177 S_Atlantico1   147    1    1     30.       1.      0.    0   177      0.      0.       0
 178 S_Colorados    147    1    1     9.9       1.      0.    0   178      0.      0.       0
 179 S_NRColI       147    1    1    120.       1.      0.    0   179      0.      0.       0
 180 Termocapacho   300    0    1     4.8       1.      0.    0   180      0.      0.       0
 181 S_BayuncaBol   147    1    1      3.       1.      0.    0   181      0.      0.       0
 182 S_Guayacan     147    1    1      8.       1.      0.    0   182      0.      0.       0
 183 S_LaCeiba      147    1    1      8.       1.      0.    0   183      0.      0.       0
 184 PCH_Violetas    25    1    1   0.945       1.      0.    0   184      0.      0.       0
 185 PCH_Patico    1061    1    1    15.9       1.      0.    0   185      0.      0.       0
 186 S_SanFelipe   1030    1    1     90.       1.      0.    0   186      0.      0.       0
