Num Graph...........................|...Unid Type  Y/N
127 Costo interconexion              $/MWh      0    0
128 Costo total interconexion        k$         1    0
129 Perdidas interconexion           MW         2    0
130 Porcentaje energia almacenada    %          2    1
131 Energia afluente 65% V.U.        GWh        0    0
132 Factor de produccion 65% V.U.    MW/m3/s    0    0
133 Produccion maxima de gas         MUV/d      0    0
134 Produccion minima de gas         MUV/d      0    0
135 Produccion de gas                MUV/d      2    0
136 Costo de produccion de gas       $/UV       0    0
137 Demanda de gas no-electrica      MUV/d      0    0
138 Capacidad gasoducto -->          MUV/d      0    0
139 Capacidad gasoducto <--          MUV/d      0    0
140 Flujo en gasoducto -->           MUV/d      2    0
141 Flujo en gasoducto <--           MUV/d      2    0
142 Consumo de gas por termica       MUV/d      2    0
143 Deficit demanda de gas no-el     MUV/d      2    0
144 Costo marginal de rest.gas       $/UV       3    0
145 Energia almacenada por embalse   GWh        2    1
146 Consumo de comb. por termica     k.unid     2    1
147 Margen de capacidad termica      MW         2    1
148 Margen de capacidad hidro        MW         2    1
149 Reserva primaria termica         MW         2    0
150 Reserva secundaria termica       MW         2    0
151 Reserva primaria hidro           MW         2    0
152 Reserva secundaria hidro         MW         2    0
153 Factor de produccion - PCV       MW/m3/s    2    0
154 Energia almacenada - PCV         GWh        2    1
155 Costo marginal turb. minimo      k$/m3/s    3    0
156 Potencia Hidro (sin fallas)      MW         2    0
157 Filtracion                       m3/s       2    0
158 Factor de despacho hidro         %          2    0
159 Factor de despacho termico       %          2    0
160 Evaporacion                      m3/s       2    0
161 Demanda por sistema - inelast. MWMW         0    0
162 Costo violacion de riego         k$         1    0
163 Costo viol. reserva generacion   k$         1    0
164 Costo viol. restriccion gener.   k$         1    0
165 Cmg Reserva rodante hidro        k$/MW      3    0
166 Cmg Reserva rodante termica      k$/MW      3    0
167 Cmg Enlaces DC                   k$/MW      3    0
168 Perdidas en Enlace DC            MW         2    0
169 Costo emision CO2 por termica    k$         1    0
170 Costo termico (oper + emision)   k$         1    0
171 Emision CO2 por termica          tonCO2     2    0
173 Generacion renovable             GWh        2    0
174 Gen. renovable x CMg barra       k$         1    0
175 Gen. renovable x CMg nodo unico  k$         1    0
176 Caudal turbinable disponible     m3/s       2    0
177 Cmg restriccion generacion       k$/MW      3    0
178 Cargamento de los circuitos      %          2    0
183 Costo unit. emision CO2-seg 1    $/MWh      0    0
191 Limite Curva Aversion Riesgo     GWh        0    0
192 CMg Curva Aversion Riesgo        k$/MWh     3    0
193 Costo viol. Curva Aversion Riesgok$         1    0
216 Costo unit. emision CO2-seg 2    $/MWh      0    0
217 Costo unit. emision CO2-seg 3    $/MWh      0    0
220 Volumen inicial                  hm3        2    0
221 Costo marginal produccion gas    k$/MUVd    3    0
224 Viol. Curva Aversion a Riesgo    GWh        2    0
225 Flujo circuitos-falla circ.      MW         2    0
226 Circuito fallado-falla circ.           0    2    0
227 Enlace DC-falla en circuito      GWh        2    0
228 Flujo en transito por barra      MW         2    0
229 Demanda por sistema - atendida   GWh        2    0
230 Demanda por barra - atendida     GWh        2    0
231 Demanda por sistema - maxima     GWh        0    0
232 Demanda por clase - atendida     GWh        2    0
234 Energia almacenable max. 65% V.U.GWh        0    0
235 Indice de la isla en la red AC   Isla       0    0
236 Energia almacenada por conj.emb. GWh        2    0
237 Potencia nominal renovable       MW         0    0
238 Energia vertida por central      GWh        2    1
239 Valor contratado por contrato    kUC        0    0
240 Maxima retirada por contrato     UC/h       0    1
241 Valor restante por contrato      kUC        2    0
242 Valor no consumido por contrato  kUC        2    0
243 Valor consumido por contrato     kUC        2    0
244 CMg valor adicional por contrato $/UC       3    0
245 Volumen max. reserv. combustible kUC        0    0
246 Inyeccion maxima reserv. comb.   UC/h       0    0
247 Retiro maximo reserv. comb.      UC/h       0    0
248 Volumen final no reserv. comb.   kUC        2    0
249 Inyeccion reserv. combustivel    kUC        2    0
250 Retirada reserv. combustivel     kUC        2    0
251 Consumo de termica via contratos kUC        2    0
252 Consumo de termica via res. comb.kUC        2    0
253 Valor contratato ToP por contratokUC        0    0
254 Valor restante ToP por contrato  kUC        2    0
255 Valor ToP no cons. por contrato  kUC        2    0
256 CMg valor ToP por contrato       $/UC       3    0
257 Valor ToP consumido por contrato kUC        2    0
258 Demanda por clase - inelastica   GWh        0    0
259 Demanda por clase - maxima       GWh        0    0
260 Demanda por barra - maxima       GWh        0    1
261 Demanda por clase - beneficio    k$         1    0
262 Costo ToP por contrato           k$         0    0
263 Costo adicional por contrato     k$         1    0
264 Valor contratato Adc por contratokUC        0    0
265 Valor restante Adic. por contratokUC        2    0
266 Valor Adic consumido por contratokUC        2    0
267 Valor Adic nao cons. por contratokUC        2    0
268 Costo por contrato               k$         1    0
269 Volumen final (%VUTIL)           %          2    0
270 Gen.termica x CMg demanda        k$         1    0
271 Gen.hidro x CMg demanda          k$         1    0
272 Gen.renovable x CMg demanda      k$         1    0
273 Deficit (% de la demanda)        %          2    0
274 Deficit por barra (% demanda)    %          2    0
278 Mapeo hora-bloque                Bloq.      0    0
279 Generacion termica en MW         MW         2    0
290 Demanda x CMg barra              k$         1    0
291 Energia almacenada 65% V.U.      GWh        2    0
293 CMg de combustible en el reserv. $/UC       3    0
294 CMg capacidad reserv. comb.      $/UC       3    0
296 Violacion rest. vertimiento min. m3/s       2    0
297 Costo viol. rest. vertimiento mink$         1    0
298 Vertimiento minimo (restricion)  m3/s       0    0
299 Indicador rst. seguridad activa  0/1        1    0
300 Indice de Lerner para transmisionpu         1    0
301 Costo futuro                     k$         2    0
302 Costo inmediato por sistema      k$         2    0
303 Costos por categoria             k$         2    0
304 Vertimiento generacion renovable GWh        2    0
305 Ingreso tarifario x circuito (>0)k$         1    0
306 Costo reserva secundaria hidro   k$         1    0
307 Costo reserva secundaria termica k$         1    0
308 Energia afluente por hidro       GWh        0    0
