!BCod ..Bus.Name.. LCod dd/mm/yyyy Llev ..Load.. Icca
   33 Cabañas110      1 01/01/1970    5     1.54    0
   34 Castilla110     1 01/01/1970    1    42.51    0
   34 Castilla110     1 01/01/1970    2    35.08    0
   34 Castilla110     1 01/01/1970    3    32.28    0
   34 Castilla110     1 01/01/1970    4    26.47    0
   34 Castilla110     1 01/01/1970    5    20.02    0
   35 Caucheras1      1 01/01/1970    1     1.94    0
   35 Caucheras1      1 01/01/1970    2     1.25    0
   35 Caucheras1      1 01/01/1970    3     1.26    0
   35 Caucheras1      1 01/01/1970    4     1.13    0
   35 Caucheras1      1 01/01/1970    5     1.17    0
   36 Chorodo110      1 01/01/1970    1     5.94    0
   36 Chorodo110      1 01/01/1970    2     4.15    0
   36 Chorodo110      1 01/01/1970    3     4.31    0
   36 Chorodo110      1 01/01/1970    4     3.01    0
   36 Chorodo110      1 01/01/1970    5     2.69    0
   37 Rodeo110        1 01/01/1970    1    22.45    0
   37 Rodeo110        1 01/01/1970    2    24.89    0
   37 Rodeo110        1 01/01/1970    3    24.77    0
   37 Rodeo110        1 01/01/1970    4    15.28    0
   37 Rodeo110        1 01/01/1970    5    13.16    0
   38 Itagui110       1 01/01/1970    1     23.6    0
   38 Itagui110       1 01/01/1970    2    24.22    0
   38 Itagui110       1 01/01/1970    3    19.98    0
   38 Itagui110       1 01/01/1970    4    17.76    0
   38 Itagui110       1 01/01/1970    5    15.33    0
   39 Laceja110       1 01/01/1970    1    12.06    0
   39 Laceja110       1 01/01/1970    2     7.12    0
   39 Laceja110       1 01/01/1970    3     7.38    0
   39 Laceja110       1 01/01/1970    4     3.76    0
   39 Laceja110       1 01/01/1970    5     1.64    0
   40 Oriente110      1 01/01/1970    1    60.67    0
   40 Oriente110      1 01/01/1970    2    53.74    0
   40 Oriente110      1 01/01/1970    3    53.76    0
   40 Oriente110      1 01/01/1970    4    41.72    0
   40 Oriente110      1 01/01/1970    5    39.08    0
   41 PBlancas110     1 01/01/1970    1    32.92    0
   41 PBlancas110     1 01/01/1970    2     25.3    0
   41 PBlancas110     1 01/01/1970    3    23.61    0
   41 PBlancas110     1 01/01/1970    4    19.43    0
   41 PBlancas110     1 01/01/1970    5    13.73    0
   42 VllaHermosa1    1 01/01/1970    1    20.06    0
   42 VllaHermosa1    1 01/01/1970    2    22.15    0
   42 VllaHermosa1    1 01/01/1970    3    21.08    0
   42 VllaHermosa1    1 01/01/1970    4    12.11    0
   42 VllaHermosa1    1 01/01/1970    5     9.84    0
   44 Vasconia110   501 01/01/1970    1    16.48    0
   44 Vasconia110   501 01/01/1970    2    16.48    0
   44 Vasconia110   501 01/01/1970    3    16.48    0
   44 Vasconia110   501 01/01/1970    4    16.48    0
   44 Vasconia110   501 01/01/1970    5    16.48    0
   46 Cordova110      1 01/01/1970    1     11.7    0
   46 Cordova110      1 01/01/1970    2    10.68    0
   46 Cordova110      1 01/01/1970    3     10.5    0
   46 Cordova110      1 01/01/1970    4     9.53    0
   46 Cordova110      1 01/01/1970    5     11.7    0
   47 Envigado2       1 01/01/1970    1     9.48    0
   47 Envigado2       1 01/01/1970    2    11.15    0
   47 Envigado2       1 01/01/1970    3     6.73    0
   47 Envigado2       1 01/01/1970    4     6.27    0
   47 Envigado2       1 01/01/1970    5     3.42    0
   48 Miraflores1     1 01/01/1970    1    27.47    0
   48 Miraflores1     1 01/01/1970    2    20.65    0
   48 Miraflores1     1 01/01/1970    3     19.7    0
   48 Miraflores1     1 01/01/1970    4    16.72    0
   48 Miraflores1     1 01/01/1970    5    12.62    0
   64 ElSalto2        1 01/01/1970    1    18.29    0
   64 ElSalto2        1 01/01/1970    2    15.76    0
   64 ElSalto2        1 01/01/1970    3    16.24    0
   64 ElSalto2        1 01/01/1970    4    10.75    0
   64 ElSalto2        1 01/01/1970    5    11.43    0
   75 Barbosa110      1 01/01/1970    1    28.52    0
   75 Barbosa110      1 01/01/1970    2     28.7    0
   75 Barbosa110      1 01/01/1970    3    29.55    0
   75 Barbosa110      1 01/01/1970    4    24.89    0
   75 Barbosa110      1 01/01/1970    5     25.3    0
   76 BelenEPM110     1 01/01/1970    1    57.24    0
   76 BelenEPM110     1 01/01/1970    2    51.81    0
   76 BelenEPM110     1 01/01/1970    3    48.74    0
   76 BelenEPM110     1 01/01/1970    4    34.44    0
   76 BelenEPM110     1 01/01/1970    5    26.88    0
   77 Bello110        1 01/01/1970    1    52.61    0
   77 Bello110        1 01/01/1970    2    47.63    0
   77 Bello110        1 01/01/1970    3    47.25    0
   77 Bello110        1 01/01/1970    4    32.18    0
   77 Bello110        1 01/01/1970    5     27.7    0
   78 Cocorna110      1 01/01/1970    1      5.3    0
   78 Cocorna110      1 01/01/1970    2     4.87    0
   78 Cocorna110      1 01/01/1970    3     4.78    0
   78 Cocorna110      1 01/01/1970    4     3.59    0
   78 Cocorna110      1 01/01/1970    5     3.77    0
   79 Girardota1      1 01/01/1970    1    33.85    0
   79 Girardota1      1 01/01/1970    2    33.28    0
   79 Girardota1      1 01/01/1970    3    33.59    0
   79 Girardota1      1 01/01/1970    4    27.79    0
   79 Girardota1      1 01/01/1970    5    27.08    0
   80 Horizonte1      1 01/01/1970    1    27.76    0
   80 Horizonte1      1 01/01/1970    2    23.74    0
   80 Horizonte1      1 01/01/1970    3    21.68    0
   80 Horizonte1      1 01/01/1970    4    17.81    0
   80 Horizonte1      1 01/01/1970    5    13.39    0
   81 PtoBoyaca1      1 01/01/1970    1     10.1    0
   81 PtoBoyaca1      1 01/01/1970    2     8.59    0
   81 PtoBoyaca1      1 01/01/1970    3     7.89    0
   81 PtoBoyaca1      1 01/01/1970    4     9.15    0
   81 PtoBoyaca1      1 01/01/1970    5     8.69    0
   82 PtoNare110      1 01/01/1970    1     4.63    0
   82 PtoNare110      1 01/01/1970    2     3.57    0
   82 PtoNare110      1 01/01/1970    3     3.52    0
   82 PtoNare110      1 01/01/1970    4     3.02    0
   82 PtoNare110      1 01/01/1970    5     2.76    0
   83 Riogrande1      1 01/01/1970    1    15.57    0
   83 Riogrande1      1 01/01/1970    2    12.96    0
   83 Riogrande1      1 01/01/1970    3    16.78    0
   83 Riogrande1      1 01/01/1970    4       8.    0
   83 Riogrande1      1 01/01/1970    5     8.34    0
   84 SnDiego110      1 01/01/1970    1    50.09    0
   84 SnDiego110      1 01/01/1970    2     68.8    0
   84 SnDiego110      1 01/01/1970    3    65.48    0
   84 SnDiego110      1 01/01/1970    4      26.    0
   84 SnDiego110      1 01/01/1970    5    24.54    0
   85 Yarumal110      1 01/01/1970    1    16.08    0
   85 Yarumal110      1 01/01/1970    2    11.57    0
   85 Yarumal110      1 01/01/1970    3    13.89    0
   85 Yarumal110      1 01/01/1970    4     6.99    0
   85 Yarumal110      1 01/01/1970    5     6.25    0
   86 Zamora110       1 01/01/1970    1    61.48    0
   86 Zamora110       1 01/01/1970    2    50.43    0
   86 Zamora110       1 01/01/1970    3    47.25    0
   86 Zamora110       1 01/01/1970    4    38.36    0
   86 Zamora110       1 01/01/1970    5    28.17    0
  101 Guatape110      1 01/01/1970    1     1.14    0
  101 Guatape110      1 01/01/1970    2     0.73    0
  101 Guatape110      1 01/01/1970    3     0.92    0
  101 Guatape110      1 01/01/1970    4     0.37    0
  101 Guatape110      1 01/01/1970    5     0.08    0
  103 Hispania110     1 01/01/1970    1    10.78    0
  103 Hispania110     1 01/01/1970    2     7.38    0
  103 Hispania110     1 01/01/1970    3     7.82    0
  103 Hispania110     1 01/01/1970    4     4.51    0
  103 Hispania110     1 01/01/1970    5     4.24    0
  110 Porce110        1 01/01/1970    1     3.43    0
  110 Porce110        1 01/01/1970    2     2.07    0
  110 Porce110        1 01/01/1970    3     2.34    0
  110 Porce110        1 01/01/1970    4     0.91    0
  110 Porce110        1 01/01/1970    5     0.59    0
  111 PtoInmarco1     1 01/01/1970    1     3.14    0
  111 PtoInmarco1     1 01/01/1970    2     3.27    0
  111 PtoInmarco1     1 01/01/1970    3     3.73    0
  111 PtoInmarco1     1 01/01/1970    4     4.71    0
  111 PtoInmarco1     1 01/01/1970    5      4.9    0
  112 RioClaro110     1 01/01/1970    1    24.42    0
  112 RioClaro110     1 01/01/1970    2    18.57    0
  112 RioClaro110     1 01/01/1970    3    19.48    0
  112 RioClaro110     1 01/01/1970    4    19.48    0
  112 RioClaro110     1 01/01/1970    5    21.23    0
  117 Texas110        1 01/01/1970    1     2.27    0
  117 Texas110        1 01/01/1970    2     1.99    0
  117 Texas110        1 01/01/1970    3     1.73    0
  117 Texas110        1 01/01/1970    4     1.84    0
  117 Texas110        1 01/01/1970    5     2.05    0
  118 Tigre110        1 01/01/1970    1    12.96    0
  118 Tigre110        1 01/01/1970    2     9.04    0
  118 Tigre110        1 01/01/1970    3     6.06    0
  118 Tigre110        1 01/01/1970    4      4.2    0
  118 Tigre110        1 01/01/1970    5     3.58    0
  135 Amaga110        1 01/01/1970    1    15.68    0
  135 Amaga110        1 01/01/1970    2    12.61    0
  135 Amaga110        1 01/01/1970    3    13.06    0
  135 Amaga110        1 01/01/1970    4     8.57    0
  135 Amaga110        1 01/01/1970    5     8.19    0
  140 Oasis110        1 01/01/1970    1    45.54    0
  140 Oasis110        1 01/01/1970    2    59.52    0
  140 Oasis110        1 01/01/1970    3    63.34    0
  140 Oasis110        1 01/01/1970    4    36.05    0
  140 Oasis110        1 01/01/1970    5    31.98    0
  146 NvBarranqui2    1 01/01/1970    1    11.22    0
  146 NvBarranqui2    1 01/01/1970    2    11.65    0
  146 NvBarranqui2    1 01/01/1970    3    14.46    0
  146 NvBarranqui2    1 01/01/1970    4    11.58    0
  146 NvBarranqui2    1 01/01/1970    5    14.35    0
  147 Sabanalarga2    1 01/01/1970    1    53.66    0
  147 Sabanalarga2    1 01/01/1970    2    46.02    0
  147 Sabanalarga2    1 01/01/1970    3    42.23    0
  147 Sabanalarga2    1 01/01/1970    4    51.12    0
  147 Sabanalarga2    1 01/01/1970    5     46.6    0
  153 Malambo110      1 01/01/1970    1    48.27    0
  153 Malambo110      1 01/01/1970    2    44.25    0
  153 Malambo110      1 01/01/1970    3    41.67    0
  153 Malambo110      1 01/01/1970    4    46.61    0
  153 Malambo110      1 01/01/1970    5    41.73    0
  157 Tebsa110        1 01/01/1970    1    10.59    0
  157 Tebsa110        1 01/01/1970    2    10.21    0
  157 Tebsa110        1 01/01/1970    3     8.87    0
  157 Tebsa110        1 01/01/1970    4     8.83    0
  157 Tebsa110        1 01/01/1970    5     7.57    0
  159 VeinteJulio1  501 01/01/1970    1    43.77    0
  159 VeinteJulio1  501 01/01/1970    2    43.77    0
  159 VeinteJulio1  501 01/01/1970    3    43.77    0
  159 VeinteJulio1  501 01/01/1970    4    43.77    0
  159 VeinteJulio1  501 01/01/1970    5    43.77    0
  163 Centro110       1 01/01/1970    1    53.04    0
  163 Centro110       1 01/01/1970    2    60.76    0
  163 Centro110       1 01/01/1970    3    56.97    0
  163 Centro110       1 01/01/1970    4    46.57    0
  163 Centro110       1 01/01/1970    5     39.6    0
  164 Cordialidad1    1 01/01/1970    1    45.82    0
  164 Cordialidad1    1 01/01/1970    2    38.28    0
  164 Cordialidad1    1 01/01/1970    3    36.15    0
  164 Cordialidad1    1 01/01/1970    4    42.35    0
  164 Cordialidad1    1 01/01/1970    5    36.86    0
  167 NvBaranoa1      1 01/01/1970    1    12.39    0
  167 NvBaranoa1      1 01/01/1970    2     9.64    0
  167 NvBaranoa1      1 01/01/1970    3      8.9    0
  167 NvBaranoa1      1 01/01/1970    4    11.23    0
  167 NvBaranoa1      1 01/01/1970    5    10.09    0
  170 SalaminaEC1     1 01/01/1970    1     15.5    0
  170 SalaminaEC1     1 01/01/1970    2     11.8    0
  170 SalaminaEC1     1 01/01/1970    3     10.7    0
  170 SalaminaEC1     1 01/01/1970    4    13.99    0
  170 SalaminaEC1     1 01/01/1970    5    13.16    0
  173 Magdalena3      1 01/01/1970    1    21.81    0
  173 Magdalena3      1 01/01/1970    2    20.62    0
  173 Magdalena3      1 01/01/1970    3    18.94    0
  173 Magdalena3      1 01/01/1970    4    21.43    0
  173 Magdalena3      1 01/01/1970    5    18.75    0
  174 Union3          1 01/01/1970    1    56.12    0
  174 Union3          1 01/01/1970    2    52.37    0
  174 Union3          1 01/01/1970    3    48.29    0
  174 Union3          1 01/01/1970    4    55.74    0
  174 Union3          1 01/01/1970    5    48.32    0
  178 LasFlores3      1 01/01/1970    1    73.89    0
  178 LasFlores3      1 01/01/1970    2    86.58    0
  178 LasFlores3      1 01/01/1970    3     84.4    0
  178 LasFlores3      1 01/01/1970    4    68.78    0
  178 LasFlores3      1 01/01/1970    5    64.69    0
  179 Silencio3       1 01/01/1970    1     84.1    0
  179 Silencio3       1 01/01/1970    2    83.87    0
  179 Silencio3       1 01/01/1970    3    78.95    0
  179 Silencio3       1 01/01/1970    4    78.14    0
  179 Silencio3       1 01/01/1970    5    67.29    0
  186 Riomar3         1 01/01/1970    1    56.34    0
  186 Riomar3         1 01/01/1970    2    61.14    0
  186 Riomar3         1 01/01/1970    3    57.28    0
  186 Riomar3         1 01/01/1970    4    48.69    0
  186 Riomar3         1 01/01/1970    5    41.22    0
  194 TriplexPiza3    1 01/01/1970    1     1.67    0
  194 TriplexPiza3    1 01/01/1970    2     1.34    0
  194 TriplexPiza3    1 01/01/1970    3     1.62    0
  194 TriplexPiza3    1 01/01/1970    4     0.88    0
  194 TriplexPiza3    1 01/01/1970    5     0.61    0
  196 SaintGobain3    1 01/01/1970    1     2.58    0
  196 SaintGobain3    1 01/01/1970    2     2.77    0
  196 SaintGobain3    1 01/01/1970    3     2.46    0
  196 SaintGobain3    1 01/01/1970    4     1.46    0
  196 SaintGobain3    1 01/01/1970    5     1.75    0
  203 Neiva115        1 01/01/1970    1    49.69    0
  203 Neiva115        1 01/01/1970    2    53.05    0
  203 Neiva115        1 01/01/1970    3    51.81    0
  203 Neiva115        1 01/01/1970    4    41.49    0
  203 Neiva115        1 01/01/1970    5    33.59    0
  205 Seboruco115     1 01/01/1970    1     9.08    0
  205 Seboruco115     1 01/01/1970    2     8.97    0
  205 Seboruco115     1 01/01/1970    3     6.77    0
  205 Seboruco115     1 01/01/1970    4     5.65    0
  205 Seboruco115     1 01/01/1970    5     4.68    0
  206 Sur115          1 01/01/1970    1     22.1    0
  206 Sur115          1 01/01/1970    2     20.2    0
  206 Sur115          1 01/01/1970    3    18.08    0
  206 Sur115          1 01/01/1970    4    16.54    0
  206 Sur115          1 01/01/1970    5    12.67    0
  210 Betania115      1 01/01/1970    1       0.    0
  210 Betania115      1 01/01/1970    2       0.    0
  210 Betania115      1 01/01/1970    3       0.    0
  210 Betania115      1 01/01/1970    4       0.    0
  210 Betania115      1 01/01/1970    5       0.    0
  212 Altamira115     1 01/01/1970    1    19.99    0
  212 Altamira115     1 01/01/1970    2    15.69    0
  212 Altamira115     1 01/01/1970    3    16.33    0
  212 Altamira115     1 01/01/1970    4    10.91    0
  212 Altamira115     1 01/01/1970    5      9.8    0
  213 Florencia1      1 01/01/1970    1    29.55    0
  213 Florencia1      1 01/01/1970    2    25.61    0
  213 Florencia1      1 01/01/1970    3    18.72    0
  213 Florencia1      1 01/01/1970    4     12.8    0
  213 Florencia1      1 01/01/1970    5    11.82    0
  214 Pitalito115     1 01/01/1970    1    12.36    0
  214 Pitalito115     1 01/01/1970    2    11.45    0
  214 Pitalito115     1 01/01/1970    3    12.71    0
  214 Pitalito115     1 01/01/1970    4     7.14    0
  214 Pitalito115     1 01/01/1970    5      6.4    0
  222 Tenay115        1 01/01/1970    1     4.22    0
  222 Tenay115        1 01/01/1970    2     5.84    0
  222 Tenay115        1 01/01/1970    3     5.62    0
  222 Tenay115        1 01/01/1970    4     5.55    0
  222 Tenay115        1 01/01/1970    5     7.69    0
  223 Ocoa115         1 01/01/1970    1     46.9    0
  223 Ocoa115         1 01/01/1970    2    42.71    0
  223 Ocoa115         1 01/01/1970    3    42.27    0
